"sim","rep","cbac_1","cbac_2","cbac_3","cbac_4","cbac_5","cbac_6","cbac_7","cbac_8","cbac_9","cbac_10","cbac_11","cbac_12","cbac_13","cbac_14","cbac_15","cbac_16","cbac_17","cbac_18","cbac_19","cbac_20","cbac_21","cbac_22","cbac_23","cbac_24","cbac_25","cbac_26","cbac_27","cbac_28","cbac_29","cbac_30","cbac_31","cbac_32","cbac_33","cbac_34","cbac_35","cbac_36","cbac_37","cbac_38","cbac_39","cbac_40","cbac_41","cbac_42","cbac_43","cbac_44","cbac_45","cbac_46","cbac_47","cbac_48","cbac_49","cbac_50","cbac_51","cbac_52","cbac_53","cbac_54","cbac_55","cbac_56","cbac_57","cbac_58","cbac_59","cbac_60","cbac_61","cbac_62","cbac_63","cbac_64","cbac_65","cbac_66","cbac_67","cbac_68","cbac_69","cbac_70","cbac_71","cbac_72","cbac_73","cbac_74","cbac_75","cbac_76","cbac_77","cbac_78","cbac_79","cbac_80","cbac_81","cbac_82","cbac_83","cbac_84","cbac_85","cbac_86","cbac_87","cbac_88","cbac_89","cbac_90","cbac_91","cbac_92","cbac_93","cbac_94","cbac_95","cbac_96","cbac_97","cbac_98","cbac_99","cbac_100"
1,1,5.56439370545376e-07,0.00431465029723432,4.87631639786735e-05,3.12588618744513e-06,1.39076481957286e-06,0.00629879807436979,0.00043918401666861,0.000467177974435571,3.09455234526377e-06,0.00483206270551625,2.05247342244795e-05,3.47376039474029e-05,0.000332001802859538,3.16286333768402e-05,4.82477714593382e-07,2.21620371355733e-07,3.39922804743176e-07,0.000852719028534803,0.00098793483257878,2.14692129558776e-05,3.32436057191858e-05,0.0527852200079962,3.18970190196913e-05,1.78737856037988e-05,9.48784480923648e-05,8.15089902145324e-06,0.00025063910072202,4.2532442893148e-07,0.00251589581828777,0.00011378379759139,5.35303637802401e-06,9.33812251827563e-05,2.38870658411813e-06,0.000197321709541897,0.00525541740822213,3.09421683499378e-06,0.257397326999369,0.0455335831559528,0.00062070449573447,0.000248659188435162,0.00894467927550236,0.000318478594321547,1.01342101240389e-06,0.00163027676387088,0.104224773495682,0.00208170509800059,0.00188921447632582,0.00234608270005203,0.00328009764327399,2.96884083685552e-06,7.83015240119816e-05,0.0019326289550729,0.0190894633771029,0.000360426277090191,3.17184628633865e-07,4.06481307269357e-06,8.83043511201592e-06,3.58109364077911e-06,2.11815534312064e-05,0.000186538686271803,0.00110172103652118,0.000710500924969923,0.00404949767552969,2.61711301324241e-07,0.00819107741410898,2.9245918055913e-05,3.74380925652622e-05,7.54166128870516e-06,0.00154623246430933,0.0100100749784166,4.54428637024158e-05,0.000340031728373402,6.86082539055818e-07,1.29426521208053e-05,6.13463379635984e-06,0.0128683269252528,5.61487495243725e-05,0.000253996845300229,0.00220075987497641,2.98251809399402e-07,0.000586495358007756,0.00331115493157582,7.2737117074839e-05,3.1647212634908e-06,2.61680728600522e-05,9.50116817604691e-07,0.000660970858698278,0.0031442582623634,1.26247305340326e-06,0.00348756224593657,0.000636248676113972,9.77774812876845e-05,3.46875629346827e-05,0.413086317606578,0.000153684977663083,5.01391749486867e-06,0.000147505314824657,1.76830624273872e-05,1.10889659835716e-06,0.00275216196063801
2,1,9.50154826233441e-05,6.97435988929813e-06,8.71815442256220e-09,0.000410191936633053,4.3178975064821e-05,5.94815066619823e-06,1.01021722871744e-08,0.000636317523556519,8.03269769071092e-07,8.45465059019348e-06,3.45511158906547e-09,5.33784552567325e-07,8.97342648457463e-05,1.52061957198868e-08,2.7183880096284e-05,3.78996769854752e-05,9.26926195425406e-07,0.00158646167729621,1.65807873685153e-08,0.662253589758565,3.56255062932762e-06,9.28426229540449e-07,9.05748967846749e-07,5.48100557446966e-06,0.000149365987687951,3.51368498091863e-08,2.3465663747716e-07,1.35791912664208e-08,4.63227074235824e-05,2.01552865942915e-07,6.56119814822515e-05,1.97949041486715e-05,3.25883840418337e-05,8.84880819793096e-08,1.14640700695362e-07,8.13228484329254e-06,1.07874827353165e-08,2.35712086744998e-06,6.96714874800543e-08,2.35684483838739e-07,7.7145983616354e-06,9.10521883161483e-07,7.96411206610861e-09,8.59207553310321e-07,3.46906294960421e-06,5.06624593643329e-09,3.84147861355891e-08,0.000134034305639234,1.34942175737559e-08,2.97003594883738e-05,1.71104548488225e-06,2.8102061719051e-07,0.00816887500321429,7.22138360605888e-10,8.10613937145928e-06,2.67542643596943e-05,1.65973709065964e-06,0.00032681398146518,1.67977688361179e-06,9.56833801155303e-09,5.59677930677853e-08,0.00214678607882186,2.39365281347869e-07,6.67047176410218e-06,5.58070562833384e-08,2.26986414577481e-06,9.74537426831066e-07,0.000513897712693472,6.64405539296652e-07,4.29866534197512e-07,6.08765802078083e-06,2.54295076532086e-07,7.03273273864917e-09,6.97948178998085e-07,0.000118059584622391,2.91567622065678e-07,4.35551816999708e-05,1.18634612414347e-05,1.26508276829054e-06,0.0001085918213802,5.52396742648438e-09,0.315557442133011,5.47939203664777e-05,1.02100544253928e-07,2.91707139649591e-06,9.60511635262798e-07,1.18567477099443e-05,4.12982140452475e-07,1.04932367970852e-09,7.60186183279794e-05,1.4526043303588e-05,8.18360478912436e-06,1.35630040389819e-07,0.00704272668549259,1.26166362543126e-08,9.69550719230256e-08,5.31880131030991e-07,5.51693911687946e-06,8.4095756287007e-06,6.63767338713449e-07
3,1,0.000167819062903349,1.55249169759422e-05,6.07850549765433e-06,2.62061736192733e-05,3.22521832945422e-06,3.59141585100044e-09,8.53681002259913e-11,1.37315906969364e-07,7.19983647675353e-05,1.00358408090934e-07,1.5894753278078e-05,1.72374487031605e-05,9.35610321865091e-08,8.14494044112558e-05,4.13637137217916e-07,0.00293439629403468,3.28005995085694e-07,1.03006680058777e-05,3.73590396651289e-06,7.35941854674983e-08,1.07771433695077e-06,1.25732794222669e-05,2.44836003731004e-08,6.81339972456985e-06,8.85754266620302e-05,0.000350587455824094,9.6323502942492e-05,0.00122706688522722,5.33395598567146e-07,2.00785828615349e-05,2.15757663297252e-06,6.78152807301275e-07,1.81871713268423e-07,3.70359853988867e-08,0.00245094435383545,5.94476560204697e-05,0.000105290908332682,4.02491177222385e-07,0.00047189590591164,9.93338758929663e-06,0.000871183466159553,0.000290769298492618,9.69912765964082e-06,2.96383926776734e-05,2.23149692762814e-06,0.0179628931530076,9.59499717798065e-05,4.41110004159283e-07,2.27580619634704e-07,3.04771040492668e-06,0.000166270937150322,0.010179155756255,9.45395017040097e-09,2.72725621397767e-08,3.38581458172734e-06,3.17826031704689e-06,0.000218915001351818,9.11558206078359e-10,5.08584950700762e-07,0.000111076712633262,1.76853872545541e-06,1.53777708183497e-07,3.53095660101683e-05,0.00226677702939544,0.000255952085720001,1.06597329437028e-06,2.35279468010696e-08,0.0117710221437137,6.53949173310587e-07,5.20406130845762e-06,2.9529709455742e-07,6.76325732562775e-09,0.0114754300792681,5.25270192367531e-07,6.44534765555407e-08,0.00123686744077331,0.118222303097443,5.85512652885039e-08,8.45450034859188e-07,4.77165656694675e-09,0.801497959320931,4.45941399201913e-09,1.12334943164646e-07,1.25168579855923e-06,1.36236471324246e-06,4.41506303865958e-05,0.000668201595664436,1.46801216987013e-05,3.3624238641398e-06,1.48755079215886e-05,5.91081203835899e-07,0.000134494992256131,0.000727766850506615,8.65433989469981e-08,1.06924989926128e-06,0.0129588365915294,0.000412754562432547,2.82912254893692e-05,7.56374095787267e-06,2.54634127479718e-09
4,1,5.49354259779022e-06,1.31980408862291e-05,2.6989807494899e-05,0.000390892598874742,0.00706127489598921,0.0012681613846974,2.87484520512936e-06,0.000357717004828137,0.00525556880449679,0.00307966194867227,0.00121762524037806,0.00617651879050417,0.00391350365789275,1.8989661711621e-07,0.0825972595498864,4.91351148138656e-05,1.42447139182051e-05,0.000244310530113846,0.000113250391327485,0.001125188949414,0.000152409421113683,0.01510347245189,0.00670882668735469,0.0236841378144146,0.000336150303943034,0.0106585302502194,0.0114364562992525,2.85165301976035e-05,0.0797053001756538,4.52483551736533e-05,0.000689151397803545,0.00434866415148396,0.00200445535125309,0.00779105294237817,6.35824581676002e-06,0.00267628427489368,0.00891572872694377,0.000277078396810616,0.0525125541962303,0.00958881332408904,0.0069463228217524,0.00507069839438823,0.000718526251139981,0.000408735443621239,0.00198819726390335,0.00157549748736015,0.000671147274337874,0.0377201555396033,0.00404086010399317,0.0132200803159697,3.1781832688072e-05,0.185902902638772,0.000201463076612194,0.00222989938226071,0.000209590111575023,0.0240901978037147,0.0118768388815941,0.000152037872861384,0.000215158672813224,0.00332940592090336,2.11486342107285e-05,0.00122668574583098,0.00104282663753286,0.00467133510371525,1.55233467558308e-05,4.25646415231639e-05,0.00122988785912602,0.000237625613917303,0.00222257573496203,0.00166192714583691,0.0038165262486346,1.81167275613468e-06,0.000893848731132498,0.00338230418984663,0.0115689659014005,0.148747949790292,0.0133639029307035,0.00802718181077522,0.0112096145815328,1.11667136575661e-05,0.00021874431186408,0.0293726756398861,0.000361329111685991,0.00728347004497022,0.00338320944820368,0.000354951863401363,4.22956578605017e-05,0.00519456131534643,0.00161340725055669,0.00358441621457608,0.0317852268963904,0.00816085463661805,0.0313202161482506,0.0127058843815894,3.76104411560393e-06,6.43162470349287e-05,0.000324096884042121,0.000251760167157727,0.000164280717035083,0.000233422889883984
5,1,1.69795297357117e-05,1.85984830482543e-05,0.00883001748619222,1.11787532742041e-06,0.00118790001359345,0.0109728886123166,0.274950790947126,0.000119910845046143,0.000205052442997838,1.07357998407684e-05,0.000135209697277928,0.000900782001794239,5.34780158580069e-05,4.63201897202981e-06,2.50436013758473e-05,1.45199620599086e-07,1.1763200901362e-05,4.94653992930988e-05,0.013412633488256,0.000201995507364962,0.0113939284261967,0.00109341937447951,0.000835042174964676,0.0086827782240092,0.00024032861039453,5.41917091090435e-06,0.000326509798120712,0.000378274140738047,7.28667653793798e-05,8.14805904164637e-05,0.00228529537865714,1.94256427250105e-06,9.6566302814878e-05,0.000464724791148855,2.25646709465823e-07,4.03719348022318e-06,4.38858368369214e-06,0.000326671217330226,0.00195233263944307,0.0170412791037106,3.45306102853493e-06,2.2815397176069e-07,0.126742964468377,0.00413650041629903,0.000168168698700828,1.9518355796137e-06,9.56430448746993e-06,0.00014065358861706,0.00104479401251161,0.000481819387452091,0.000435339561716286,6.51585559993049e-05,0.00152595744517372,7.55218521330325e-06,3.02714676693671e-05,7.60553769593491e-05,1.2126515143729e-06,0.000735088477424033,0.0026550738310637,0.00285799517556569,7.89689646362803e-05,5.90246857202605e-05,6.09976865656808e-05,0.000571820926248059,1.42329586369432e-07,9.79902552169388e-06,0.00579485193332997,2.19877862460666e-07,0.00368816758357889,1.57045378349526e-05,0.00201287133107237,0.000274718394470052,5.02249668313843e-07,0.00240547258605183,0.000245410846847598,7.63037793548861e-05,1.53525540239689e-06,0.000341916971838719,0.0148045357899701,0.000229953025190079,2.58458144800844e-05,3.57675608041581e-08,0.000187574576002004,0.351093659483308,0.00893753398426153,0.00111141555316469,3.51323363032761e-07,0.0675374445792127,0.00494724188492784,2.39612851276617e-06,5.01132799831571e-05,7.05226708719808e-05,0.00885200322194426,0.0245803575218829,0.000913564574836102,1.75032612862437e-06,2.00058769289589e-06,2.11755177207166e-06,0.000488135255653894,0.00300656461556574
6,1,2.23440284547691e-07,0.00193202264010413,2.37661983480815e-05,8.49105632134875e-05,0.000872860424662478,0.0024284709184614,0.0574802363664756,0.0547530126609116,1.83837050869174e-05,0.00286171028472139,0.000211356123984742,1.39316412317913e-05,3.06213375836334e-07,0.0157234862303868,0.0001863965301718,0.00481937442481361,0.00160697681493657,0.0708572935199323,3.38706288011202e-05,0.000253758144129203,0.000565790995478685,3.82953283560984e-05,0.0493795372754998,0.00179653389438964,7.37525210460229e-07,6.54083545515318e-07,8.08702878996552e-05,1.29953648491774e-06,0.000102521731875795,0.000900045038319655,3.24287565195462e-05,1.03044123427116e-05,0.00101952899392502,0.000338665936539892,5.21742035756297e-05,1.1891696293906e-05,3.44059380377694e-07,0.000141473453111496,3.57699718245764e-06,0.0865833679784877,0.00102065230552251,4.45275121406548e-07,1.00926688010924e-06,5.31187745650952e-07,0.0027323493302428,7.37234452085829e-06,3.46948326577808e-06,1.09428888342793e-05,0.00250507815862025,0.00103024685163035,9.55392998365181e-05,4.85321592938684e-07,0.000381246005665025,3.53483451624759e-06,0.206800178417289,0.0013191738379543,9.84554237891087e-05,0.019889186042374,0.00172119267920036,2.02596660876042e-05,1.51689777259511e-06,0.027037906643983,1.0177383404023e-05,3.08496556811285e-05,4.84251061215256e-07,1.50501456958457e-07,0.00100214791843985,2.77597374468296e-07,0.000915148258804415,0.00143672266892518,6.92962092628452e-05,0.0250164784501933,6.84545202361319e-06,0.00396736491454431,4.16933298221115e-05,0.000204841064518739,5.95782371908044e-09,0.00041204689800349,0.000866666924753681,0.0254034014681817,3.17849083330369e-07,0.0016419350140766,6.79310966281402e-07,9.08282679277701e-05,0.110554058356292,2.21268907280173e-06,6.04552341504332e-06,0.000113794633848656,0.00165552048662164,0.178248167271138,0.000154481728528243,1.31430262872681e-05,7.27221188920243e-05,0.00153242390394666,4.87323326905985e-05,0.0190222469562607,1.93949042626567e-06,0.00012987787657197,0.00733458858952469,8.85238492576573e-05
7,1,7.98678521784045e-05,2.82698531053061e-08,0.000101169342810039,0.0013159996920625,0.000437424205127449,7.72775413287387e-08,6.81533053113355e-09,7.79900094223235e-06,2.8511923234054e-05,0.0122475292491474,0.00159045468209351,0.00553871072446693,1.41684025219273e-06,1.0584190537921e-05,0.000326094890898773,4.7711230540644e-07,0.000122104198060913,4.70890347827366e-05,0.00017018682939294,4.07846767733288e-05,1.69967709688458e-07,0.00385433669170272,0.0053333961973823,2.3180875624656e-05,0.00552322224197223,0.0924077321009504,0.00402563785325448,0.000134818119888869,0.000407065834991003,8.94908808952097e-07,8.85527079515032e-08,0.0118340820295561,9.69990305344679e-05,0.000128249608664603,1.45263260970653e-05,0.00117081776769612,8.4132828995084e-05,0.000134771240076928,0.333268245046038,2.05458957275061e-05,2.67696343924413e-05,0.193297602483058,2.73820547171537e-05,6.4212127061965e-06,9.02533954749601e-07,0.00405915770431611,0.0117200462978803,0.00177258738432604,4.32751376671858e-06,8.88505650970913e-06,0.00233483362204926,0.000120467744104872,2.93911596301524e-07,0.108698988112193,7.16665115458846e-06,6.53162612029174e-05,0.00235992865838581,1.80083560475832e-08,0.000101378957942644,4.6412303718957e-06,1.94953583783938e-07,4.18534193061947e-06,0.00491690089315233,0.000422132596793779,1.44372834601792e-08,3.73914350539981e-05,5.84567263233565e-06,1.02831998530696e-06,1.48405185031393e-07,9.62329854673432e-10,0.000416399487515578,0.000513136713753951,0.000448768069763016,0.00899916642038117,0.0148773941094541,0.00331935868538267,0.0804562767637541,8.37263432916543e-08,2.92848416095783e-06,2.32142626472001e-06,3.35171302641403e-05,0.0259826233806074,0.000158822215214673,0.0298068369350836,3.34410947346671e-06,0.000394649696111589,0.0223745537942199,2.94375645697332e-08,8.03606955335206e-06,2.23756083663192e-07,0.000949326568162952,0.000257948386573345,4.38112551113319e-05,5.00090888855592e-08,0.000179273618940649,6.65573821634803e-06,1.39809613789161e-05,1.55632412314725e-05,0.000200092713300005,6.39119959781757e-07
8,1,0.000967882186602255,2.37000931038188e-05,3.72841729084966e-07,0.000173275676645603,4.48381659211567e-06,3.50507188888709e-07,2.83638617521691e-07,1.48734940401788e-05,1.31266035867139e-05,7.56241922695909e-08,8.59463010335961e-09,1.19148785052025e-06,0.0059011889921775,1.15922942322599e-05,5.86261140105925e-05,8.00333571826447e-07,8.49383996665026e-05,4.09259257307423e-05,1.5071705356881e-05,0.947466506776214,4.47765540620348e-05,3.88614049639094e-09,1.19132556175862e-08,3.43153465090738e-07,0.00397470634258408,2.79300817051216e-10,1.05631239994047e-08,2.65261364772421e-08,4.62671123739063e-07,9.1510729264547e-07,2.26169673844269e-05,1.28446406102839e-05,1.11457170874266e-05,3.15434394182023e-09,7.67010844955169e-07,3.72625150361006e-08,1.42602008376574e-10,3.09884070000907e-05,1.49982493040668e-10,2.70382299941606e-06,2.4281077517489e-07,1.15859219048204e-07,6.97141068135548e-07,3.46949377539704e-05,7.32058038732035e-08,5.51280169938186e-08,7.70792487999421e-10,5.79340355371093e-08,3.1344460965827e-09,4.459317802586e-06,0.000189386168348472,1.98467742657954e-08,0.000188280784335473,2.3256754158871e-11,4.21522230902049e-06,0.000806578458252411,4.4815081233916e-07,2.09277938138508e-05,9.16112411104896e-05,6.65487320565856e-10,4.21474162798829e-07,2.47833848638448e-05,7.49289400887037e-08,3.72144355403822e-07,1.35820956376653e-07,4.00703033373456e-05,1.17039910251272e-07,0.000616504712869456,1.04019573677972e-08,1.59935902588039e-10,1.77411596897714e-06,5.15454824268168e-05,1.21565388170285e-08,2.12636153200924e-07,4.55488808597945e-06,2.62058346823778e-09,2.31886146321519e-07,5.89884926679377e-07,4.74407216683605e-07,0.000916340223933548,8.13741871550983e-06,0.000934955114915252,2.24811087078386e-06,2.69304432400933e-06,1.12483930163867e-07,0.000240514151001927,0.000364941735840681,1.8771091783577e-07,4.66538604356436e-11,2.93022433444084e-06,3.91312654494685e-07,2.04166902865069e-06,3.91652701625286e-09,0.0113308409033567,9.70480198937802e-08,7.71209222512902e-07,0.000343373862734508,0.00028634041172854,0.024578804272284,1.88787078607889e-05
9,1,3.03545758622368e-05,0.00147946465128809,0.0428687229419075,0.000237704240888123,8.45740062528948e-05,2.57036164992762e-05,0.0459466631600456,0.000608572111903483,8.39433358414891e-07,0.000352664150461831,0.00180041776485787,0.000192235666808181,4.86865069667257e-05,0.0508705573451958,6.1685348564138e-06,0.0036549015971228,0.00196014895624673,0.000367092211115724,0.000254776784935369,5.71399772483675e-05,0.000303308252029681,0.000391583634647891,7.20165177748008e-05,6.60145250201401e-05,7.85233620672292e-05,0.00101496588197507,0.00281501378923242,0.00111011548196074,0.0017214739273008,7.82811570250288e-05,3.57135363080523e-05,3.00549235292017e-05,0.000626716741208672,0.000870430621829548,0.0194173096590332,2.01969355055526e-05,8.40411766631686e-05,0.000147316307076005,0.00327248731285055,1.92263885298233e-06,8.48164455763714e-05,0.000943448188490545,0.00117672451858971,0.00103765617493552,2.97338507569509e-06,0.000234691041983974,0.00164264362782696,4.99013525106152e-05,1.76593349702877e-05,7.22375614380557e-06,0.000209165017558892,1.66022019198841e-05,0.00919647156210899,0.0225933047812776,0.000515375276492847,2.22947422897333e-06,1.96762123647209e-05,0.0025892715362021,0.000500074436479001,0.00124360962030592,0.50924324498697,0.000453800131763653,0.000835709177807143,7.18851017582516e-05,0.000821330466146437,0.00225812518946353,0.00139521729696052,1.76334949230704e-06,0.000437256810031889,0.000134804934814098,6.20982772030142e-05,0.0067010080881586,0.00205473896909578,3.39652227361663e-05,8.50529794884811e-06,3.07505802241769e-05,0.00033460647303518,6.73571414498973e-06,3.06792642251999e-05,0.00642753508285227,0.000225715702719345,0.000365433732914848,0.00181598493902798,0.00123141274150723,0.000171360141606348,0.000672247306238211,0.00077422064401136,2.82947759262072e-06,0.00133044309423923,5.66090423428852e-07,2.78105192742971e-07,1.39081339431266e-05,3.61948541769114e-05,1.17993494596214e-05,0.231496920528612,6.19526853856894e-06,1.97766741045129e-05,0.000878118478210086,2.58133738599238e-05,0.00448862838803608
10,1,1.98356979539909e-06,6.20154306058442e-06,1.4714914597761e-08,9.8026935135597e-07,7.41793411720498e-05,0.000177463972329586,6.09384142514786e-06,1.39454179696801e-05,2.99893110976298e-07,7.74913165980687e-07,3.87597107119075e-10,7.83723781884748e-08,0.000266103451147002,4.89227584658943e-10,0.000278131682872605,2.1352254628715e-05,2.02767433005308e-08,2.0692206199558e-08,1.17284138419966e-08,0.131643636063121,4.71591956083798e-06,1.39035954247409e-09,1.60456547045632e-07,5.54328841561845e-09,3.17862823385023e-08,7.27720035365882e-08,2.36888037918136e-08,1.61211053892369e-07,5.96218326998555e-06,1.84612534971511e-08,3.3949556995099e-05,7.81833622088404e-07,1.85823774008939e-07,8.9392562686388e-09,5.0384206198882e-08,1.89694627577562e-06,6.49603628144337e-08,4.76755603413613e-09,5.52619780145151e-09,3.55385198113059e-11,2.61834440281696e-07,4.17711451230798e-05,1.07172295120017e-07,4.26199428243158e-05,4.91823926328857e-05,1.05619825852934e-09,3.91445747388907e-07,5.16176463327669e-07,1.73448907093003e-07,2.60993218754527e-08,1.04989425184882e-07,4.22620837157551e-09,0.00653397238151552,1.19241583603843e-08,3.54464242895237e-09,3.62086798245454e-05,3.20117571445152e-07,0.856618528695663,2.87344509894361e-07,8.48321398641769e-10,1.72719540896348e-07,2.09837898493128e-07,4.60417490417395e-08,4.43886856220302e-08,2.87067050130412e-06,9.86903978553952e-07,8.11843059103014e-07,0.00248011645369313,2.23732534245184e-05,1.04159705702709e-06,3.28399167954218e-08,1.0623806002334e-07,2.49478356959099e-08,2.25464328706967e-09,8.71260861426181e-07,4.33473375889097e-10,5.30478553212563e-07,2.37687582152349e-06,2.98460943599403e-07,0.000246470125729848,5.63067459069115e-12,0.00134148542711152,3.19494537912256e-05,1.53514858248689e-09,6.55638665005993e-10,2.63469377901284e-08,1.73625485851076e-07,1.45558739482891e-07,1.07907374719384e-07,1.56275348489001e-08,4.69949239625974e-07,4.12997101107699e-08,3.97267904675028e-09,1.55146924650686e-06,2.09862058820588e-07,5.0535168453919e-08,1.0103012035927e-07,1.7808787701459e-09,3.85008442476615e-07,2.79700368483554e-09
