"sim","rep","vir_1","vir_2","vir_3","vir_4","vir_5","vir_6","vir_7","vir_8","vir_9","vir_10","vir_11","vir_12","vir_13","vir_14","vir_15","vir_16","vir_17","vir_18","vir_19","vir_20","vir_21","vir_22","vir_23","vir_24","vir_25","vir_26","vir_27","vir_28","vir_29","vir_30","vir_31","vir_32","vir_33","vir_34","vir_35","vir_36","vir_37","vir_38","vir_39","vir_40","vir_41","vir_42","vir_43","vir_44","vir_45","vir_46","vir_47","vir_48","vir_49","vir_50","vir_51","vir_52","vir_53","vir_54","vir_55","vir_56","vir_57","vir_58","vir_59","vir_60","vir_61","vir_62","vir_63","vir_64","vir_65","vir_66","vir_67","vir_68","vir_69","vir_70","vir_71","vir_72","vir_73","vir_74","vir_75","vir_76","vir_77","vir_78","vir_79","vir_80","vir_81","vir_82","vir_83","vir_84","vir_85","vir_86","vir_87","vir_88","vir_89","vir_90","vir_91","vir_92","vir_93","vir_94","vir_95","vir_96","vir_97","vir_98","vir_99","vir_100"
1,1,0.00305542246883135,1.71262407116246e-05,0.000219491055877865,3.30156822316152e-06,0.00048254326443401,0.00234004973797747,0.0171351296949074,6.93400776100246e-05,1.22475832953419e-06,2.30918418197458e-09,4.45899924019095e-07,8.4253251762203e-05,0.281101253692636,1.71210536437002e-05,6.53876800287864e-05,0.00755960470709227,8.90494498082831e-06,1.44674611917325e-09,0.0071355362930114,2.11532333727944e-06,6.45753783799343e-06,4.4086078147537e-07,0.0336562249325801,0.0980590996114562,5.980395907676e-05,0.157625311466005,0.000480564712071536,1.62360853579965e-07,0.0156542286111143,8.13437431795475e-05,5.62908473420553e-05,0.0123564555435239,0.00198739505370688,6.5255202230265e-07,3.12148022604908e-06,1.67482349401085e-06,9.45563992198303e-06,7.0540551413053e-07,0.000323496177946064,5.07591383940324e-07,8.124521975141e-05,0.0274099626383746,4.71033305482855e-05,1.45418683684755e-05,5.57154141841149e-05,3.31587997850934e-08,0.000504213658303583,0.00575092175959127,0.000143963305867893,0.000274896803755464,0.000266379115453046,0.000252124099204783,0.000289136179354997,6.21109727071643e-07,0.267448689652284,2.2320575390873e-05,1.09343425599267e-05,9.70080457386364e-06,1.66479603288192e-07,0.000229434946371925,5.59021786366391e-05,0.000268199680801372,7.22072462308317e-06,4.37542163043621e-06,0.00253874018233789,1.22782677148476e-05,5.68026316811497e-05,6.66731294568934e-07,0.00157824448838678,7.58324672099113e-07,0.00382980564427774,0.0105102183268664,1.97362834091878e-07,9.28334979549528e-05,0.000434948214328255,0.00156809022372379,0.00481800079905243,3.89727045137966e-07,3.68891246239552e-06,0.000439778107766383,0.0021467314670053,0.000124680054640004,2.96565997775517e-05,0.000408624501193853,5.28747321616215e-05,0.000342729877707124,3.87525605367081e-05,1.5703159367311e-06,0.00154338479639375,2.02561779692644e-06,0.000238783982214387,1.33109601948671e-05,2.12684175131659e-07,0.0114993584206419,0.000160432528012576,0.000550362033530898,2.13500559743924e-07,0.0122942781315076,0.0001683116030729,0.00168881334349446
2,1,0.188653554937228,0.000101185353038122,0.00731431859242333,7.39348266062992e-06,0.000247006192395136,1.74844256426897e-05,0.000193963144231736,4.75446947749447e-05,0.000187550178797612,0.00975282859846575,0.0107434190604745,3.15072255816396e-05,0.00441317377125005,0.000268038644290294,3.3022185082452e-05,0.00109731901911447,3.73070540187422e-05,0.00133909706765251,0.000173910405111032,0.0031316133296073,0.000506270955750732,0.00778189562355638,0.000230538352156417,4.03985544151859e-05,5.02247386941871e-06,6.57756705692831e-05,0.0111444273828543,7.39326159693198e-06,0.00057097317132473,0.0760260963019112,0.00234956604521388,0.00162091845961682,1.00949919912833e-05,0.00997729595120536,0.00128051359549922,4.74028247267116e-05,3.37332048412062e-06,2.76632583947408e-05,0.0124104691279156,5.93466236408561e-06,3.27681068289845e-05,0.000461251936089899,0.000690058909696587,3.49588144655881e-06,0.0033400123937867,3.02598682471674e-06,0.000235782504009448,0.00538703339238381,0.00610313094808139,0.0730540967115424,2.80716368088277e-05,4.38587348928461e-06,9.08601004377467e-06,4.80608930106236e-06,8.91195419421652e-05,5.21518143394541e-05,0.000143217220411595,0.00078449606053215,0.00276217090289485,0.00806770237081562,0.000673341196766449,0.000620299262413726,5.0287433670448e-06,7.07541849075322e-05,0.000491704617100514,1.24644617818957e-06,0.00020399102586129,0.000176993347429832,0.0158427911729368,0.019971613507397,3.81506619232373e-05,0.000570668510896334,0.0212001063669095,0.000208531195600335,0.121260921060932,1.62635506762385e-05,2.32293949562819e-05,1.55394723072843e-08,0.00242236974876917,5.57379873702735e-06,0.00203912141252528,2.29696258869998e-05,0.00148715369379954,2.35757647832477e-05,0.00162398900112832,1.48451727574625e-06,0.010283359558382,1.73342241591709e-05,8.3061162041285e-07,0.00350081070789259,2.43489631400326e-05,0.038591853178028,0.271366142444578,1.78678197327223e-05,0.00237239383401009,0.0315204328219909,2.6406352709245e-08,3.9299847637153e-05,9.03891642062138e-05,1.38974311130815e-05
3,1,0.00127306177019464,1.14782623076927e-07,6.41126817788994e-07,4.4080937251742e-06,0.0249888520702269,0.00524941292355679,8.93077782473118e-06,1.44208531349625e-07,0.000126635716036478,0.0825712414105761,0.0293459506569695,4.75106426469069e-05,0.00999310793417926,9.43916029460752e-09,3.69013979374973e-08,9.96498026953945e-06,0.000235086843613246,0.00117594110619545,0.01208143668959,0.0556289547877523,0.0038342138833333,0.00329769320556215,6.47995902719119e-06,1.18386704182123e-08,2.98627591370075e-08,1.28107424730616e-05,0.0001198874150897,0.00369692013119419,0.000360950925519603,0.0199777321330379,0.00670909640784421,1.94182394302181e-07,7.26889521596522e-07,1.78098932867055e-05,0.0660002195946736,0.00594214376671832,1.9218330667434e-05,9.07367201710361e-07,0.0684692759838558,6.09660747018398e-06,0.00100355867824718,1.20339855720901e-05,0.000140481874913239,6.36313892282353e-05,0.000124923384631366,1.02172831828564e-05,0.0019880225911763,0.0245516196617611,0.00317239939407885,1.25886610649142e-05,2.08183473970639e-05,0.0017356464528083,3.35360309022093e-07,8.114436578336e-08,2.80340281579904e-07,0.000368679694467068,0.000490392665924564,0.10009699094619,0.0125863112703336,1.89933540416639e-05,0.0714608188416439,0.000588689021971172,0.001474020972491,4.53065136916705e-07,0.000627083080892816,5.62761420676327e-07,9.42265988596079e-05,6.00323485236154e-07,6.12507413894168e-05,1.73112033499047e-06,0.00119139690453065,1.37495684719395e-07,2.86861624220905e-06,4.71275904795171e-08,4.33201648859807e-07,1.33015218450317e-07,0.00282077320031704,4.08140826700539e-07,2.5564735639212e-05,2.35778980348928e-06,6.65243468529981e-06,3.2462578194484e-05,5.05420162640896e-07,0.00276095194385314,0.0250193343876605,3.41292923156805e-07,4.24122012759139e-05,0.000409092438407051,3.1654841530936e-05,0.000119601925426596,4.33753716101127e-08,3.95339968302085e-06,0.331733817569178,2.72862503540046e-07,2.4864846370985e-08,1.10611755826287e-07,0.0127329975294093,0.00114021730344264,8.95125335393484e-09,1.18851145940679e-07
4,1,0.00125362231760744,3.19965645442815e-07,5.15092593810181e-06,1.80933258564115e-07,1.3640627600839e-06,9.36812768005556e-07,1.04526493329085e-05,6.58157071860174e-05,0.000654194599453996,3.82726995611872e-05,7.77160863664845e-09,2.57584340193805e-08,2.34101088118705e-05,1.09661087625612e-06,1.00609665670476e-05,0.000187956198176033,1.00291348344744e-07,0.00147713835936289,2.12936530298532e-07,0.000624701416149856,2.74105827540399e-08,0.0016169327569753,1.5187082874596e-05,3.49593298306126e-07,0.00368922510219551,5.73514379229381e-08,5.60571034878275e-06,1.51029872969703e-05,0.0140193185875898,0.00227212386206155,5.29221160514297e-06,0.853484198821518,3.62285310354042e-06,4.35682575095244e-06,3.10612302322278e-05,4.61110647708658e-07,0.00015300128310953,6.68075606638008e-07,3.16224451753942e-06,0.000254919734931,1.03939523311383e-06,0.000377123835783346,4.85533433319671e-06,3.57410384172745e-07,3.50041006678349e-05,3.91257992916623e-06,3.14195695121123e-05,1.65285180675519e-05,3.65384230913558e-07,1.1371099640333e-05,8.23478352289722e-05,2.84649604084626e-05,3.72495792010393e-07,1.29409956868473e-05,2.34825776995723e-07,4.1559233717761e-07,0.000531145599255828,1.25138942292507e-08,6.17078156664294e-05,2.37688618890829e-05,5.40098133718571e-05,3.12578267743495e-06,2.56233084103107e-05,5.10565199703904e-07,2.48926548714576e-06,3.88933958189847e-05,4.6585842241867e-07,6.23319374421284e-05,0.000214375075905819,2.27203738566036e-06,0.000583695236141081,4.29233603071802e-06,7.95783980035773e-07,4.22835285701446e-06,8.1455018161183e-06,5.18174925082836e-08,2.2893430308832e-06,0.00375959222846544,1.03156269859344e-06,6.2430721445636e-10,0.000127520948512733,2.61119933730305e-05,2.34814823333177e-06,0.0867496539473064,2.92135390043122e-05,2.339371451525e-08,1.02301569631006e-07,3.73085703337959e-07,1.2278054633276e-06,7.62704025777515e-06,3.34991988448715e-06,0.00096683986929437,0.0147605719589271,0.0112683175244937,4.56969264504834e-06,2.71444030200461e-06,1.9998824314521e-08,9.48937316000649e-09,7.89623388085067e-07,0.000127310802009715
5,1,0.00176561983761974,8.92579991547545e-08,1.28278852000241e-05,1.23144824181465e-06,1.4688162367861e-08,8.48573784624429e-06,4.7219937947337e-08,1.06549964648029e-09,2.6879565338589e-08,6.63248305189328e-08,4.9820478106382e-08,6.89167454820105e-05,2.30839794225372e-09,0.0034107121018842,2.40582151908908e-05,7.66884522371781e-06,1.07882886232118e-10,6.04725120158371e-07,6.14521303919389e-08,2.15675112706364e-07,0.000122082184297911,1.95778489741632e-06,4.49331726561898e-07,2.89269472657994e-06,0.0001068526555108,5.56919605436981e-09,1.14888398655423e-05,4.56126521461229e-06,5.46430464610514e-07,2.63808676951749e-07,1.16132964980206e-08,0.00059729216793646,1.37039790599237e-06,0.000602529608585898,4.06265707272813e-09,7.16036313347928e-10,4.77145234145481e-09,4.74520820000306e-08,0.000126037413383653,0.000786441586924588,5.12183319506119e-07,9.87850264551762e-09,7.44400017045177e-07,3.0320232578645e-06,1.30485398983153e-07,5.11104487627775e-06,3.8052778647771e-05,2.59081638724398e-06,1.20956241619824e-08,7.4782202061626e-07,4.14836665005251e-06,5.73234544317811e-12,8.10776296697748e-08,5.47770992402289e-07,1.68372205274706e-08,3.1012138724166e-07,1.56081884161592e-07,5.7289977795555e-07,9.26324348632828e-08,3.90305223826235e-05,9.92677029818243e-10,1.48839728469262e-06,1.03833308880412e-06,8.37277001310944e-05,7.01735475549897e-08,6.08062198286227e-05,3.57139968988682e-09,2.37808751134238e-08,7.14909709133289e-08,0.00367049259434148,3.8834121763685e-10,2.35531611703603e-05,0.00150493178170169,0.985413165447962,0.000724975236929458,6.42675707185506e-08,7.63569830942374e-06,0.000106683923844527,1.21333085698561e-07,1.99302092963698e-09,1.31080282117273e-05,7.99769206663258e-06,1.81900309222098e-05,1.66673129423684e-07,3.05771539676313e-10,4.8945020619728e-07,9.51498147295934e-07,1.10379970414666e-07,9.49500012406855e-09,0.000423440399758629,2.65381549548088e-05,1.36137943863409e-09,1.07983371130556e-07,1.36535426765171e-05,0.000118317592676392,1.3745236236604e-08,1.08114704189879e-09,2.2228717540214e-09,1.65966382876733e-05,6.69734625906489e-09
6,1,4.90946925862527e-06,0.000189169833983637,0.000199288857851304,5.32679528284636e-06,5.80537149457702e-06,9.29622161562512e-07,3.61663522035355e-05,0.00544737224805278,4.61089112536899e-08,7.50536780522366e-06,4.04099671521046e-08,1.47427739101685e-06,4.47308797593408e-08,2.24470052584851e-05,1.19856848790372e-06,5.22106945444421e-08,1.58626562442162e-05,2.78864615138873e-05,7.66663241803997e-06,7.73117341363508e-08,3.90313253555516e-07,2.27199181193827e-05,0.0559635610759172,0.00732392140882088,1.05459002726408e-07,0.000490503518907252,1.39319299540932e-05,4.57128618581309e-10,3.03936091623104e-05,1.20185703987248e-08,0.861521390869549,2.40613871603551e-06,1.31545941641151e-05,1.58325399219484e-08,8.02662542874878e-05,4.14845613391279e-07,3.63493678158927e-05,8.67458700912942e-07,5.76750172522789e-08,6.86723317011974e-07,6.04006532726786e-06,8.84680812752755e-07,2.14254984186282e-08,2.12189058285873e-05,8.6453873739689e-07,2.35381338302302e-08,1.00407508973488e-08,2.3394255428676e-05,0.000188158898786218,8.12313980567295e-06,0.000391264690335357,4.15472980838655e-06,5.39288366886157e-05,4.57869156967617e-09,2.02244793193678e-05,2.87498172393875e-05,3.56437810885934e-09,3.02049647287196e-07,3.43760082969228e-06,3.97431040714001e-09,5.58330857254209e-08,7.0306996346938e-09,4.54425261174529e-06,0.00520097894517385,0.00222287816310231,6.47242972212388e-07,7.78250356461782e-08,5.95764823363694e-06,2.21248694791669e-09,0.00088143088657698,0.030514651390244,4.94901008844938e-06,7.77481111910439e-07,8.05837447969709e-06,1.2394772217113e-06,0.00647361203796967,3.85804275511421e-07,6.71476784039167e-05,3.01333664380325e-06,0.0021458162150572,1.27958529343187e-06,0.000693176983591926,0.0119491803562989,1.15208476923844e-06,3.1975101365224e-09,0.000360926595419882,6.10830325419594e-07,1.01500687409409e-06,4.12405237478833e-07,1.24132514530579e-07,0.00124258027721911,3.24294756727239e-06,7.38912328040731e-07,4.92133851352648e-09,1.65636651469528e-05,0.000160875966978165,4.20081995095589e-06,0.0055078636613082,0.000282094012443539,1.24892218996032e-05
7,1,0.00359588620791572,1.43634954898174e-05,0.00383423339504318,5.29034562366203e-07,8.09823858429546e-08,1.29284126026352e-08,8.35076309892278e-05,0.0178540873559478,1.42481990810325e-06,1.16309211191744e-07,3.07690557629725e-06,4.78414217516409e-05,0.000258515753050309,2.75046753713392e-07,0.000389907270947817,6.72842418085037e-09,1.85950523037893e-05,0.177773987409888,2.50416652046349e-08,1.65323386627684e-05,5.35909880159301e-09,8.97935389268537e-06,0.0304130393925695,3.26493314311425e-07,2.56182503471499e-09,5.74006167959691e-06,4.07722623262915e-05,0.0197915361431955,5.29188441177317e-07,0.000861783013031737,1.00907525842585e-06,0.62647993096872,7.49180764018419e-09,1.07085857404993e-06,0.000155897332738565,0.00012197085614447,0.000379850114884586,2.36338395411953e-07,2.40943904011078e-05,0.000217026418660529,3.30634378597679e-06,1.95987320318002e-09,2.66260416996803e-06,9.14728152030516e-10,2.80243864491037e-08,3.92689425902443e-08,3.76053573315167e-06,1.40604845197591e-05,2.70747998891866e-05,1.85237666916806e-05,1.19008511065071e-06,0.0555852159774898,1.22669471708711e-08,1.3442268362136e-08,4.17428204570878e-09,5.41784467405642e-07,1.10303452752671e-06,1.17966885885699e-07,0.00215938057134714,9.20520298640159e-08,2.95624715796907e-05,1.48075262734133e-10,1.06263195065447e-06,9.45645552334232e-08,1.14472231614081e-07,1.25720332963987e-05,3.06269145535335e-08,0.00184402041076189,3.36561223471436e-06,3.75580610113646e-07,2.42471994075424e-05,1.09121300828224e-07,1.43143295303943e-06,8.24906942392285e-08,9.29734748203823e-06,8.82051166340555e-07,1.1195149093563e-06,1.63101893728906e-06,0.000185234247815468,1.71929349011e-07,1.12373118778102e-08,1.26414576606945e-05,5.7422166947197e-06,6.1333575296846e-06,1.45684156296568e-06,4.07492409894694e-08,1.81674593032372e-08,7.15908853493888e-06,4.35392794562547e-08,1.09487980559858e-07,2.92690835669649e-05,0.000489106314974191,0.0566554827530728,3.50699795313312e-06,3.88633391726161e-06,0.000245342032462891,0.000197121083735686,7.27911538518991e-07,1.35866583478574e-06,1.14949115392848e-05
8,1,2.15332862133730e-09,3.81532403527234e-09,1.34335034835297e-06,9.61701947263745e-09,1.00547049704717e-10,1.06994212666046e-12,9.02513071095807e-07,1.34317426961803e-10,4.84041180749363e-10,0.999476681690318,5.5294321352278e-05,1.3347731922813e-10,8.96360344526637e-10,3.95553634065695e-07,1.27243896952932e-13,9.38524290218997e-05,2.24950583802488e-10,4.31674259169013e-07,1.03733422943603e-10,1.05007492545459e-06,2.96246126241277e-07,6.26752179013029e-11,5.2023020115983e-12,1.0436814080929e-07,4.53002776217424e-08,4.34431674940125e-13,1.09431030271015e-09,1.36352595954529e-10,1.40939304330417e-06,1.24747235959581e-07,6.21551358077885e-11,1.00032154444621e-10,3.9813199353992e-12,9.07403117130981e-08,1.0813692927655e-08,1.66537216223857e-10,1.78800345951061e-08,6.67319037992268e-09,2.95469945252593e-06,1.36433466688357e-09,2.63847782754894e-08,1.24094637251741e-05,6.40910821723551e-08,9.49118545542616e-13,9.50730435545612e-08,6.5003849231396e-07,4.70794964752899e-09,3.02193635653221e-12,1.54860423017818e-12,7.78169195196424e-10,2.87232914181468e-09,1.10892176366297e-12,2.36197522640805e-11,2.79760748473171e-09,1.94704140861403e-06,1.80828004821492e-09,9.83726025536587e-09,9.54084184345445e-08,1.1012517429298e-08,1.09092346117535e-06,7.39377327619037e-08,1.01980102658301e-06,6.94791840200384e-10,2.61272558769251e-09,5.09372523621759e-12,4.15143799093448e-09,6.545995966651e-10,7.17033984397982e-09,3.54541610101634e-10,0.000300953346241254,4.82568915845802e-07,1.52876502479473e-11,3.6997516772697e-05,3.19542117925534e-06,1.01517354125375e-07,1.62918909829357e-10,1.76326604338915e-12,3.32102883281669e-11,8.2243695585356e-08,2.64507437322096e-09,7.64727808270049e-10,1.2109297538921e-11,1.87184971801026e-09,9.59649545968295e-12,1.29856771771419e-09,1.06762588042483e-08,4.26335047881801e-07,1.24079813559357e-12,7.62781619852679e-08,4.94135404874253e-06,2.22102301608487e-12,5.65381443468289e-08,5.96497758477398e-12,2.72831773741461e-13,1.11587335112973e-07,2.04542004784255e-09,1.52570234904382e-10,6.53799732537874e-12,7.85125707893091e-10,2.25758354278409e-11
9,1,6.46223395365228e-05,0.00035848240745365,0.00048517997682747,0.000447417675750714,0.000286509131955865,6.07748481034078e-05,0.0778598778606147,0.0683022372063671,2.35184342810713e-05,0.00115596601581655,1.40014542989527e-05,0.000876139932036788,3.2263183612751e-06,0.000231783018005203,4.18580129813673e-05,2.21655381509973e-07,0.000292965259393387,0.0137524568862163,0.000934205048319191,0.000217961858383293,1.12633001549337e-05,1.09365329459703e-06,0.00212071384177804,0.00151548208595092,9.01017418455085e-06,0.000578719205524806,2.94797569413116e-05,0.000142687587910069,0.000901078451923188,0.000205592742956603,0.000171193683224983,1.60317940391734e-05,0.00364344557073664,2.17307868590632e-06,0.00685991835771677,5.98110686316946e-06,0.00635607369921838,6.32025188075207e-05,0.000220332480408923,0.000147663318175696,0.00151813335145281,0.000252919981715921,0.000885887489687797,4.86985056803788e-06,0.000167838148350176,0.00784474369194419,3.75997754170487e-06,1.33113731035194e-05,1.03197689424874e-06,1.81599574553081e-05,0.0209910194115915,0.00308540414451326,3.08644921053828e-05,2.05544962703875e-06,0.000399703959903731,8.9429597647375e-05,0.00136824192016825,0.000275042994166867,6.06401502894598e-05,7.1092488850365e-07,0.00071051469667331,2.05871064624474e-07,0.000523525289037319,2.81624344902018e-05,0.000167486962741462,0.0001849320717764,3.2083186061901e-05,0.000284414248396539,8.41882788306507e-06,5.81725601144665e-05,0.0133431316884746,5.5043163030807e-05,1.8007360322214e-05,0.000108969940619522,2.75001694861346e-05,0.00119117395631462,0.000799620287439407,0.0130053294305261,3.82115358223763e-05,0.00402528289835818,2.34770719817644e-05,0.0138305347614103,0.000185855492787107,0.000500966559492663,1.13321497136606e-06,0.00436096067822471,6.8425555961465e-05,1.88978471136337e-05,0.000284410741324311,5.78674325474045e-07,0.000179847892165158,9.26158275015481e-06,3.23785017707254e-05,3.31715004321586e-05,0.000334529767278013,3.73883924407446e-05,0.0385079098717746,0.678374397294952,0.000142928707318801,0.00303844872069629
10,1,3.00844380592262e-06,0.000155340284081557,0.0370358107054436,2.32219933828952e-05,1.47991105765865e-06,2.75490754655008e-06,0.00246371734879908,8.76263699978348e-06,4.16265663911343e-05,1.00149125235699e-07,5.03762634722002e-05,5.89599024912969e-06,0.000321209340304228,0.000105554522965587,6.87006548260329e-06,0.00016697651692364,1.85144052057235e-06,6.03921128210294e-07,0.0003718260844673,2.10938930184329e-05,0.00021746613215547,2.3747812419333e-07,3.35299264855492e-09,1.16292073852151e-05,4.26224865251946e-05,0.000650457252994615,2.40237772856981e-06,1.34994710230719e-06,2.46058078631746e-05,2.69939407842888e-05,8.06888160572324e-06,3.68822622044994e-07,6.74556365169416e-06,0.000193644078190803,7.093366256554e-05,4.51306077481652e-06,8.51458876356191e-05,0.000134228451401848,1.8961955815884e-05,5.84356284077082e-07,2.10275530386706e-06,7.73036411280996e-05,0.000264702353548358,0.000150798645771615,9.26132530504563e-06,0.000384317956103978,1.29437867198578e-06,3.11636482516187e-06,8.0330716734803e-06,4.20264438729482e-05,2.08017161735073e-07,7.89904645538055e-07,0.000270013507149366,5.48843978443636e-05,0.00638036310442481,8.45837846700376e-08,0.000358881973441687,3.45286782912053e-05,3.61455730753837e-06,0.00148454867521762,1.63816387785368e-06,0.000205994286446575,1.98506791471653e-08,4.10046036608675e-06,1.00299507861783e-06,6.15462313985114e-06,0.012845128580761,7.12053007615731e-06,6.20294490189365e-05,6.83297169153613e-06,5.40206110902699e-09,0.00112952879166968,9.35825934765411e-06,3.80297834558235e-07,0.826803161835084,9.31295638989864e-06,1.03718184149938e-07,6.56894187897019e-09,2.05129340467171e-05,5.27331437165509e-05,0.00474548792436705,3.90724115385156e-07,9.27313670751825e-07,1.81087358274459e-07,9.01859019201373e-06,1.01585888273327e-05,0.0977778124894571,1.78039149945177e-06,0.00108865293373451,0.000212869031865746,5.65652197187406e-07,1.38838159807432e-05,9.5065759325778e-05,0.00255936737094892,0.00031492980888167,3.13664879683822e-05,5.26054332699185e-08,6.74304603643539e-05,1.11870708763374e-05,7.38280496815268e-05
